observation,block,EE_seq,grandmother,mother,population,EE,cue,growth_rate
1,B1,NA,A,A,G0_ANC,ANC,light,3.007
2,B1,NA,A,A,G0_ANC,ANC,light,2.389
3,B1,NA,A,A,G0_ANC,ANC,light,1.12
4,B1,NA,A,A,G0_ANC,ANC,no_light,2.493
5,B1,NA,A,A,G0_ANC,ANC,no_light,2.871
6,B1,NA,A,A,G0_ANC,ANC,no_light,1.98
7,B1,NA,A,N,G0_ANC,ANC,light,1.95
8,B1,NA,A,N,G0_ANC,ANC,light,3.078
9,B1,NA,A,N,G0_ANC,ANC,light,2.259
10,B1,NA,A,N,G0_ANC,ANC,no_light,1.711
11,B1,NA,A,N,G0_ANC,ANC,no_light,0.807
12,B1,NA,A,N,G0_ANC,ANC,no_light,3.422
13,B1,NA,N,A,G0_ANC,ANC,light,2.293
14,B1,NA,N,A,G0_ANC,ANC,light,1.653
15,B1,NA,N,A,G0_ANC,ANC,light,2.58
16,B1,NA,N,A,G0_ANC,ANC,no_light,1.633
17,B1,NA,N,A,G0_ANC,ANC,no_light,0.42
18,B1,NA,N,A,G0_ANC,ANC,no_light,2.304
19,B1,NA,N,N,G0_ANC,ANC,light,2.127
20,B1,NA,N,N,G0_ANC,ANC,light,1.932
21,B1,NA,N,N,G0_ANC,ANC,light,2.736
22,B1,NA,N,N,G0_ANC,ANC,no_light,1.927
23,B1,NA,N,N,G0_ANC,ANC,no_light,2.1
24,B1,NA,N,N,G0_ANC,ANC,no_light,1.652
25,B1,seq31,A,A,REL_150,REL,light,4.248
26,B1,seq31,A,A,REL_150,REL,light,1.76
27,B1,seq31,A,A,REL_150,REL,light,2.721
28,B1,seq31,A,A,REL_150,REL,no_light,3.304
29,B1,seq31,A,A,REL_150,REL,no_light,1.267
30,B1,seq31,A,A,REL_150,REL,no_light,1.552
31,B1,seq31,A,N,REL_150,REL,light,3
32,B1,seq31,A,N,REL_150,REL,light,3.23
33,B1,seq31,A,N,REL_150,REL,light,2.28
34,B1,seq31,A,N,REL_150,REL,no_light,3.026
35,B1,seq31,A,N,REL_150,REL,no_light,1.6
36,B1,seq31,A,N,REL_150,REL,no_light,0.867
37,B1,seq31,N,A,REL_150,REL,light,3.528
38,B1,seq31,N,A,REL_150,REL,light,4.073
39,B1,seq31,N,A,REL_150,REL,light,6.36
40,B1,seq31,N,A,REL_150,REL,no_light,3.263
41,B1,seq31,N,A,REL_150,REL,no_light,1.503
42,B1,seq31,N,A,REL_150,REL,no_light,3.564
43,B1,seq31,N,N,REL_150,REL,light,1.372
44,B1,seq31,N,N,REL_150,REL,light,3.288
45,B1,seq31,N,N,REL_150,REL,light,3.44
46,B1,seq31,N,N,REL_150,REL,no_light,2.5
47,B1,seq31,N,N,REL_150,REL,no_light,1.98
48,B1,seq31,N,N,REL_150,REL,no_light,1.459
49,B2,NA,A,A,G0_ANC,ANC,light,2.005
50,B2,NA,A,A,G0_ANC,ANC,light,NA
51,B2,NA,A,A,G0_ANC,ANC,light,1.586
52,B2,NA,A,A,G0_ANC,ANC,no_light,0.6
53,B2,NA,A,A,G0_ANC,ANC,no_light,1.309
54,B2,NA,A,A,G0_ANC,ANC,no_light,0.58
55,B2,NA,A,N,G0_ANC,ANC,light,1.68
56,B2,NA,A,N,G0_ANC,ANC,light,2.005
57,B2,NA,A,N,G0_ANC,ANC,light,2.007
58,B2,NA,A,N,G0_ANC,ANC,no_light,1.056
