observation,block,EE_seq,grandmother,mother,pop,EEV_acronym,EE,cue,fecundity
1,B1,NA,A,A,G0_ANC,GA250,ANC,light,9.9
2,B1,NA,A,A,G0_ANC,GA250,ANC,light,3.6
3,B1,NA,A,A,G0_ANC,GA250,ANC,light,4.33
4,B1,NA,A,A,G0_ANC,GA250,ANC,no_light,5.4
5,B1,NA,A,A,G0_ANC,GA250,ANC,no_light,3.2
6,B1,NA,A,A,G0_ANC,GA250,ANC,no_light,5.77
7,B1,NA,A,N,G0_ANC,GA250,ANC,light,5.77
8,B1,NA,A,N,G0_ANC,GA250,ANC,light,8.2
9,B1,NA,A,N,G0_ANC,GA250,ANC,light,5.67
10,B1,NA,A,N,G0_ANC,GA250,ANC,no_light,6.97
11,B1,NA,A,N,G0_ANC,GA250,ANC,no_light,5.27
12,B1,NA,A,N,G0_ANC,GA250,ANC,no_light,10.3
13,B1,NA,N,A,G0_ANC,GA250,ANC,light,10.78
14,B1,NA,N,A,G0_ANC,GA250,ANC,light,9.03
15,B1,NA,N,A,G0_ANC,GA250,ANC,light,3.37
16,B1,NA,N,A,G0_ANC,GA250,ANC,no_light,5.57
17,B1,NA,N,A,G0_ANC,GA250,ANC,no_light,2.23
18,B1,NA,N,A,G0_ANC,GA250,ANC,no_light,5.2
19,B1,NA,N,N,G0_ANC,GA250,ANC,light,9.17
20,B1,NA,N,N,G0_ANC,GA250,ANC,light,8.6
21,B1,NA,N,N,G0_ANC,GA250,ANC,light,7.6
22,B1,NA,N,N,G0_ANC,GA250,ANC,no_light,5.2
23,B1,NA,N,N,G0_ANC,GA250,ANC,no_light,5.13
24,B1,NA,N,N,G0_ANC,GA250,ANC,no_light,4.6
25,B1,seq31,A,A,REL_150,R11,REL,light,4.53
26,B1,seq31,A,A,REL_150,R11,REL,light,2.43
27,B1,seq31,A,A,REL_150,R11,REL,light,3.23
28,B1,seq31,A,A,REL_150,R11,REL,no_light,3.27
29,B1,seq31,A,A,REL_150,R11,REL,no_light,1.07
30,B1,seq31,A,A,REL_150,R11,REL,no_light,1.63
31,B1,seq31,A,N,REL_150,R11,REL,light,8.2
32,B1,seq31,A,N,REL_150,R11,REL,light,5.07
33,B1,seq31,A,N,REL_150,R11,REL,light,6.4
34,B1,seq31,A,N,REL_150,R11,REL,no_light,11.03
35,B1,seq31,A,N,REL_150,R11,REL,no_light,5.93
36,B1,seq31,A,N,REL_150,R11,REL,no_light,1.3
37,B1,seq31,N,A,REL_150,R11,REL,light,3.3
38,B1,seq31,N,A,REL_150,R11,REL,light,6.03
39,B1,seq31,N,A,REL_150,R11,REL,light,6.33
40,B1,seq31,N,A,REL_150,R11,REL,no_light,3.13
41,B1,seq31,N,A,REL_150,R11,REL,no_light,3.37
42,B1,seq31,N,A,REL_150,R11,REL,no_light,2.23
43,B1,seq31,N,N,REL_150,R11,REL,light,1.4
44,B1,seq31,N,N,REL_150,R11,REL,light,6.67
45,B1,seq31,N,N,REL_150,R11,REL,light,7.77
46,B1,seq31,N,N,REL_150,R11,REL,no_light,2.17
47,B1,seq31,N,N,REL_150,R11,REL,no_light,5.03
48,B1,seq31,N,N,REL_150,R11,REL,no_light,4.07
49,B2,NA,A,A,G0_ANC,GA250,ANC,light,7.7
50,B2,NA,A,A,G0_ANC,GA250,ANC,light,NA
51,B2,NA,A,A,G0_ANC,GA250,ANC,light,4.73
